song_id,title,artist,mood,rating,youtube_id,mood_source
bw_0278,Tu Na Jaane Aas Paas Hai Khuda (Unplugged),Rahat Fateh Ali Khan,Surprise,4.33,Kz0GIYoq0SE,fallback
bw_0279,Mauje Naina,Bianca Gomes,Surprise,4.33,vX__XVV7Z_Y,fallback
bw_0280,Sun Raha Hai (Female),Shreya Ghoshal,Surprise,4.33,inEu2qQuGZ8,fallback
bw_0281,Gulon Mein Rang Bhare,Arijit Singh,Surprise,4.33,KNQ7ElKRtAs,fallback
bw_0282,Hey Aam Hindustani Teri Kismat Kharab Hai,Shefali Alvares,Surprise,4.33,WH80GPVBLLs,fallback
bw_0283,Ajeeb Daastan Hai Yeh,Lata Mangeshkar,Surprise,4.86,m0olBMYEaT4,keyword
bw_0284,Woh Sham Kuch Ajeeb Thi,Kishore Kumar,Surprise,4.8,cwbnUFul5tE,keyword
bw_0285,Yeh Kaisi Ajab Daastan Ho Gayi Hai,Suraiya,Surprise,4.56,j85uH5ffEWM,keyword
bw_0286,Ajeeb Saaneha Mujh Par Guzar Gaya,Hariharan,Surprise,4.25,f5x0YKnAeu0,keyword
bw_0287,Main Na Kahoongi Mera Saiyan Ri Anokha,Sardar Akhtar,Surprise,4.0,2ck1Vo9b25E,keyword
bw_0288,Ajab Khel Kismat Ka,Mohammed Rafi,Surprise,4.0,ksSlVM8pU6U,keyword
bw_0289,Piya Milan Ko Jaana,Pankaj Mullick,Surprise,5.0,xchnkKyn9Rg,fallback
bw_0290,Awaaz De Kahan Hai,Noor Jehan,Surprise,5.0,ZuVqjXWiHWc,fallback
bw_0291,Babuji Dheere Chalna Pyar Mein Zara Sambhalna,Geeta Dutt,Surprise,5.0,Z8K0pV27rCA,fallback
bw_0292,Aankhon Mein Kya Ji,Kishore Kumar,Surprise,5.0,B3DZPwsSOr0,fallback
bw_0293,Jalte Hain Jiske Liye,Talat Mahmood,Surprise,5.0,jsaKIKHmz3M,fallback
bw_0294,Rahen Na Rahen Hum (Female),Lata Mangeshkar,Surprise,5.0,pBosIPDWyr4,fallback
bw_0295,Seene Mein Jalan Ankhon Mein Toofan Sa Kyun Hai,Suresh Wadkar,Surprise,5.0,R6CMl_EOQhw,fallback
bw_0296,Chaand Taare Tod Laoon (Jo Bhi Chahoon Woh Main Paoon),Abhijeet,Surprise,5.0,N3QzaUwml5w,fallback
bw_0297,Jo Wada Kiya Woh Nibhana Padega - I,Lata Mangeshkar,Surprise,4.93,u-ioONenaAQ,fallback
bw_0298,Kisi Ki Muskurahaton Pe Ho Nisar (Jeena Isi Ka Naam Hai),Mukesh,Surprise,4.91,69pPYkGiEAQ,fallback
bw_0299,Din Dhal Jaye Haye Raat Na Jaye,Mohammed Rafi,Surprise,4.88,6gcGxoGiOTE,fallback
bw_0300,Mere Saamnewali Khidki Mein (Happy),Kishore Kumar,Surprise,4.83,S0WPSYFm7iE,fallback
bw_0301,Darr Da Da Dasse,Kanika Kapoor,Fear,4.5,5IdGjLg6m5Q,keyword
bw_0302,Mainu Chadeya Dance Ka Bhoot Chadeya,Arijit Singh,Fear,4.0,o7W9dlz86_Q,keyword
bw_0303,Nayan Tarse,Amit Trivedi,Fear,5.0,LuW1IdlPEvg,fallback
bw_0304,Rooh Jaga Doon,Arijit Singh,Fear,5.0,PLR-uVW1vbs,fallback
bw_0305,Abhi Mujh Mein Kahin,Sonu Nigam,Fear,4.83,7Vj6c9vDrgE,fallback
bw_0306,Tujhe Dekh Dekh,Rahat Fateh Ali Khan,Fear,4.75,rNOk3Rd3aDA,fallback
bw_0307,Baatein Kuch Ankahee Si (Unplugged),Suhail Kaul,Fear,4.75,KGQxaBSdw9Y,fallback
