tmdb_id,imdb_id,title,year,rating,genres,overview,poster_path,mood
10734,tt0079116,Escape from Alcatraz,1979,7.5,"Drama, Thriller","San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan.",/uORr2GXQnyqgBOg6tVsRCJD2qxc.jpg,Angry
466272,tt7131622,Once Upon a Time… in Hollywood,2019,7.4,"Comedy, Drama, Thriller","Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,Angry
284052,tt1211837,Doctor Strange,2016,7.4,"Action, Adventure, Fantasy","After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,Angry
667538,tt5090568,Transformers: Rise of the Beasts,2023,7.5,"Action, Adventure, Science Fiction","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,Angry
186,tt0425210,Lucky Number Slevin,2006,7.5,"Crime, Drama, Mystery, Thriller","Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma.",/x21s3p5wPww534nYj1cWakTcqz4.jpg,Angry
245891,tt2911666,John Wick,2014,7.4,"Action, Thriller",Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,Angry
161,tt0240772,Ocean's Eleven,2001,7.4,"Crime, Thriller","Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg,Angry
190859,tt2179136,American Sniper,2014,7.4,"Action, War","U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",/i1U46OwMc6vlm7OoSUKfqUH615e.jpg,Angry
340666,tt4550098,Nocturnal Animals,2016,7.4,"Drama, Thriller","Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",/mdLDgQBD0va09npSQX5Zgo2evXM.jpg,Angry
13475,tt0796366,Star Trek,2009,7.4,"Action, Adventure, Science Fiction","The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",/9vaRPXj44Q2meHgt3VVfQufiHOJ.jpg,Angry
582014,tt9620292,Promising Young Woman,2020,7.5,"Crime, Drama, Thriller","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",/73QoFJFmUrJfDG2EynFjNc5gJxk.jpg,Angry
